"Company","Year","Text"
"Amaurot Cookies",2022,"I'm a chocolate lover and when I need a real sit down munch out choco fest these are right up there on my list.  What could be better than choco cookie with choco chips and a fudgy center that will make you lick you lips with pleasure.  YUMMY!Can you imagine these mixed in some ice cream, crumbled up and layered in a torte or even better crumbled up and put in a peanut butter sandwich.  Yup I'm talking serious stuff with these guys.  I do like the fudgy ones better as they have a regular soft choco chip cookie but hey when it calls for heavy artillary they will fit the bill.Oh just have a great idea.  How about these as smores.  Just put the hot dripping marshmallow in the middle of two cookies and ohhhhhhh the taste.  Just so you know these are a, ""You can't eat just one cookie"".  :)"
"Amaurot Cookies",2022,"I requested two types of Chips !'s newest cookies.  These were tasty, and the others were not.  So don't interpret this review as relevant to similar cookies... just these alone.The cookies tasty chocolatey and don't have an overpowering processed aftertaste one finds with many foods of this type.  They are very sweet, but you can tell you're eating a chocolate cookie.  In moderation (I had two at most at a time) it's decent and easy snack.  They are very chewy, almost a dough consistency, but the cookie doesn't fall apart easily. I think the frosting center helps the cookie's structure.Very good with a cup of black coffee."
"Amaurot Cookies",2021,"Ok, maybe it's just getting older, but this is overkill. I can eat a handful of chocolate chips but 2 of these cookies make that handful seem like being on a low-cal diet. If you are a kid or a real chocolate addict, you'll like them, but for the rest of us, it's just too much of a chemical buzz"
"Amaurot Cookies",2022,"I received a package of both these and the Chewy Gooey Chocofudge... so I will compare both of them.  These are excellent cookies for a store bought cookie. They are soft and have a great flavor.  I am a big brownie person and so I totally gobbled up this variety and LOVED them. My husband, on the other hand, is an avid chocolate chip lover and greatly preferred the Chocofudge version.  Lots of chocolate inside makes it an awesome cookie... no more plain cookie if you happen to be low on chips in each bite. EACH bit is guaranteed chocolate since it has a nice chocolate center, and the cookie itself is like a mild brownie/cookie cross, so it's REALLY great for a chocoholic! But it's not overbearing at all, it's really done quite nicely.  My only complaint is really towards store cookies in general: they all have a tendency to have that store bought chemical taste (I think it's the preservatives). Nothing quite like homemade in that regard!  So I took off a star for that. SOME expensive brands somehow mange this by having quick expiration dates, and if you want to spend the money on those it's worth it!  I didn't have any crumbly issues... my package arrived safe and intact!"
"Amaurot Cookies",2022,"I think it is not a great sign when a package of cookies in a house with 5 people ends up being tossed before being finished.THey were not horrible but I would not want to spend money on these or reccomend them.First off they are fairly small and thin, not that smaller protions sizes for desserts are bad, it is just not condusive to the idea of GOOEY.I found these to be way more ""dry"" and couldn;t really see what was supposed to be ""gooey"""
"Amaurot Cookies",2021,"The description sounded great but the cookies didn't really live up to the promise.  It is not that the cookies were terrible, they weren't - but they weren't particularly good either - just 'mmehh'.  The chocolate had a funny 'off' sort of taste.  The texture was rather dry and crumbly.  There are lots of cookies I like better, including just regular Chips s. If I am going to indulge in this much fat and calories I want something that tastes a whole lot better than these."
"Amaurot Cookies",2020,"Chips ! is a mass-production outfit, so there's always going to be something a bit industrial about the cookies they turn out. These are definitely very edible and, if not exactly addictive, I could (and did) find myself putting away more of them than I should at one sitting. These all-chocolate ones (""Megafudge"") are better than the traditional version, but still, the quality of the chocolate was, again, industrial at best. My wife, who knows her chocolate, said it tasted like they were trying to craft something darker than milk chocolate without the characteristic bitterness of true dark chocolate. She didn't think they succeeded. But if you're not looking for a connoisseur cookie experience and just need something for the snackin', these might not be bad to keep in the cabinet. If they make it there before you eat them all."
"Amaurot Cookies",2022,"I mostly make my cookies from scratch, but it's nice to have an emergency treat on hand. These cookies are soft (for those that fall into the ""I love soft, not crunchy"" cookie camp).They have a cocoa taste and a bit of creamy fudge in the center. This improves when you stick it in the microwave for a few seconds.The only thing I think is a negative, is the package is bulky for how many cookies you end up getting. I wish they gave us more for our money.Having said that, they are tasty in a store-bought way."
"Amaurot Cookies",2020,"Marginally better than the regular Gooey Chips , but it still didn't leave a great impression.Personally, I didn't care for the taste that was full of preservatives and was the furthest thing to the standard home or stored baked cookies. It's interesting that they were able to keep the chocolate soft inside the cookie, but it didn't add any value to the cookie. The cookie was indeed soft, crumbly, w/ lots of chocolate inside but the overall taste was just too unnatural to enjoy.It's not something I'd recommend."
"Amaurot Cookies",2020,"I was not all that impressed with the Chips ! Chewy Gooey Megafudge cookies.  These are probably not a product I would buy in large quantities for my family,I liked that this is a soft cookie and there is a center full of chocolate.I did not like that the chocolate seemed to have a funny artificial aftertaste and that the cookies fell apart easily.  There are lots of cookie crumbs left in the package and I resorted to having people eat them outside because they fall apart and make such a mess."
"Amaurot Cookies",2022,"I thought this cookie was decent tasting for a store-bought cookie, thus the 4-star rating (it would only be 3-star if including homemade).  The texture was a bit too soft, with the cookie having a tendency to crumble.  I tried this cookie at room temperature, cold, and heated in the microwave, and it remained good for store-bought but there are others I like better.  My favorite thing about this cookie really was probably the easily resealed package...."
"Amaurot Cookies",2021,"These cookies are okay for grocery store cookies made with preservatives.  They aren't as good as Nestle Tollhouse or Mrs. Fields but they're better than the unrecognizable brands one might buy at a gas station.  The ""gooey"" filling is surrounded by a chocolate ""shell"" within the cookie and makes for contrasting textures - soft cookie, chocolate shell and gooey center.  While these are in the Chips  line, they are quite different from the original.  Not better or worse.  Just different.I prefer the ""Megafudge"" Chips  over the ""Chocofudge""."
"Amaurot Cookies",2021,"I'm a ""soft cookie"" fan, and these cookies fit the bill. They're nice and chewy. Best of all, they're super chocolately! They're not very big, but that's okay because the flavor is so rich. I couldn't eat a lot at a time, but for a decadent snack, these are perfect. My kids loved them, too. If you like soft, chewy cookies and chocolate, you won't be disappointed in the Chips ! Chewy Gooey Megafudge cookies."
"Amaurot Cookies",2021,"You must love chocolate to enjoy these, they are very good cookies.Pros:- Soft.- Chocolatey goodness- Some brownie like tasteNeutral:- The chocolate inside is not melted like in the pictures, (unless you microwave them for a few seconds) but this was to be expectedCons- Fat- Saturate fat- Servings size: 2 small cookies.If you can eat just 2 of these and be happy, I salute you. They are addictive, but also have like 50% of the saturated fat for your whole day.Eat with care"
"Amaurot Cookies",2020,"Maybe it's me, but I was deeply disappointed in Chips 's Chewy Gooey Megafudge cookies. First, they're the size of a half-dollar and crumbled when I picked them up, so that makes them a little dry. Not mega; not chewy gooey. They were packed with white chocolate chips (although, I wished they were macadamia nuts). They had a slight chocolate flavor but not fudgy that's for sure.There are about 15 cookies to the package, but for some reason my package must have shifted in shipping and many of my cookies were in pieces. Needless, to say I wasn't happy with this cookie."
"Amaurot Cookies",2020,"I am the world's greatest fan of the original Chip's s.  Have loved 'em for decades and they are my ""go to"" cookie.  But --- these Chips ! Chewy Gooey Megafudge are just not my cup of tea (sorry for that metaphor).I like chewy fresh baked cookies.  And I like the rather crispy original Chips s!.  But these things are neither.  To my tastes, they are just a somewhat soggy, crumbly, ultra-megadose of chocolate.I love to give glowing reviews when I can, especially for my favorite brand names -- but I'll leave my share of these cookies to rabidly addicted over the top chocolate fudge addicts.  These are just not for me."
"Amaurot Cookies",2020,"I am reviewing these cookies from the sample that I received via the Vine program.  Admittedly, I did not get to try them at their best.The package arrived broken to smithereens, and in 100+ degree weather (Florida summer) that had fused the leaking fudge and crumbs into a unpalatable mess (see photo uploaded).  Getting over the look, I tried a clump, but I did not like the taste or the now ""gritty"" texture.  I honestly can't say if this was because they had been smashed and ""re-baked,"" or if this was the original taste and texture, but I expect the former.  They seem more brownie-like than cookie, but again, that could be because of the way I received them.Once again, I am reviewing the sample that I received, hence I am giving a mediocre three-star review: not bad, but not good either.  The best I can suggest is that you buy these from your local grocery store.  Shipping fudge cookies in the heat of summer is definitely not the way to go!"
"Amaurot Cookies",2020,"The first thing I noticed about these cookies was the package. Even the most careless kid or husband (or maybe wife, to be fair about it!) is going to find it easy to close this package and keep the cookies fresh....That is, if you care that they are fresh. After I opened the package I found the cookies were all stuck together (Witness my spouse's comment, ""Hey, those are BIG cookies!"" To which I replied, ""No, that is three cookies stuck together. "").After separating the cookies, I broke one in half and found that the result was a crumbled exterior and an interior that resembled partially cooked cookie dough more than a ""gooey"" filling.  It was not at all what I expected from the description or the picture on the bag.The taste was not too bad, but it was a bit salty-tasting, as others have noted.To be fair, this cookie would probably appeal to kids, but I would make them eat it outside or at the table; else there will surely be a lot of crumbs. Adults who just want some chocolate to go with a cup of coffee might find it satisfactory also. But for both there are probably better choices."
"Amaurot Cookies",2021,"There's not much I can think of to say for this product other than the kiddos and I joyously devoured these yummy, chocolatey, chewy cookies.  We experimented with a few to heat them slightly in the microwave and some we tried to make ice cream sandwiches, that was slightly messy...but it was all good.  Heck, my niece willing, yet slightly grudgingly, ate a serving of cooked spinach just so she could eat more of them. If that's not a positive endorsement, I don't know what is."
"Amaurot Cookies",2020,"The calories in these are unbelievable for the tiny size (only a little bigger than Girl Scout Thin Mints).  They're also incredibly addictive, even though they're really a bit overly sweet to my taste.  They have that kind of artificial softness and bright, sharp taste a lot of the more artificial cookies have also.On the other hand, I can't say I didn't enjoy them and feel like I ate way too many.  I do recommend microwaving.Here is the link to the nutrition info:[...]Each cookie weighs about 15 grams and manages to be 75 calories!I will say they're easy to eat and appealing in some ""can't stop"" way but...I'd kind of be happy to not have them in my apartment again."
"Amaurot Cookies",2022,"I was a little disappointed by the Chips ! Chewy Gooey Megafudge.First, the good news.  I liked the density of white chocolate chips, as well as the chocolate flavor of the cookies.  Both excellent.  However, I didn't like the consistency of the cookie, the cloyingly sweetness, and not much of a fan of the gooey interior.  As others suggested, I heated the cookie for 20-30 seconds in the microwave prior to eating.  The cookie was far too crumbly, and broke apart in my hands.  The interior, while gooey as promised, did not contrast sufficiently in texture with the exterior cookie shell; the whole cookie felt soft, crumbly, and gooey.  I would've appreciated some differentiation.Kids seem to love 'em, but adults, not so much."
"Amaurot Cookies",2020,"These cookies are a definite improvement over regular Chips , but I didn't experience the amount of fudge center I thought I would, based on the advertisements.  In fact, it was difficult to discern any difference between the middle of this cookie and a regular chewy cookie.However, just going by taste, these were a winner.  Just don't expect an oozing fudgy center."
"Amaurot Cookies",2021,"Wow- I never thought I would say this, but these have too much chocolate. If you want a bit of extra fudge, go for the regular fudge filled cookies... these ones that also have chocolate cookie are just too much. Two cookies in and I had heart burn from the amount of sugar and chocolate in this cookie. If you are a super chocoholic then these might be right up your alley... but they were just too much chocolate for me."
"Amaurot Cookies",2022,"How does one go about reviewing a cookie?These arrived, and my kids were thrilled.  We each had a couple of cookies, then saved enough for everyone to have one when we were all home.  The responses were all enthusiastic.One child really loved the combination of white and semisweet chocolate chips.  Another commented that it was like eating a little brownie cookie.  I loved the texture.Everyone agreed that these cookies were really delicious and tasted more like something from the bakery than something from a package.  I think it was the gooey fudge filling part -- which was just enough to make the cookie really soft, and not enough to make it a real mess (which I was afraid of).This is something we will buy again."
"Amaurot Cookies",2021,"I thought these were a little better than the Chips  gooey cookies, but still not worth a second try to me. At least they didn't have the strange aftertaste of the other cookies. They were ""fine,"" but just not feeling tons of love for them."
"Amaurot Cookies",2022,"Nabisco's new Chips ! Chewy, Gooey, MegaFudge cookies are incredibly rich.  With a soft cookie that tastes more like a brownie, chocolate and white chocolate chips on the outside, and a soft and creamy chocolate filling, they definitely fulfill any chocolate craving you might have.  Of course, with so much chocolate jammed in, each little cookie (much smaller than you'd expect) has 75 calories in it.  So it is probably best to share a pack of these with friends, rather than give in to temptation and eat a big handful.While the taste is amazing, the cookies are ridiculously messy.  They literally fell apart in my hands when I picked them up out of the container.  The fudge filling is so soft and liquidy that it has the consistency of chocolate syrup rather than fudge sauce.  Using something so fluid as the center of the cookie seems like a way to guarantee they won't hold their shape.  Add to that the fact that the solid cookie part is extremely crumbly and the chocolate chips have a tendency to fall off, and you've got a recipe for disaster.  These cookies are without a doubt the messiest I've ever eaten.  I lost more to the floor and my shirt than I managed to get into my mouth.  I want a cookie that I can pack in my lunch or grab and snack on easily.  These certainly don't meet those needs.  Despite their amazing taste, they aren't worth the clean-up effort."
"Amaurot Cookies",2020,"There really isn't a lot to say about Chips 's new Chewy Gooey megafudge cookies.  The cookies are indeed soft and chewy but really nothing special. I've tasted better and worse.Not something I personally would go out and purchase but if you are in the market for a soft cookie, this may be to your liking."
"Amaurot Cookies",2021,"Chips  new cookies are really not gooey or even mega fudge. Many other cookies are far more fudgey and far more gooey. They are okay to eat, if you do not mind a slight grainy texture. I did receive these on a warm 90+ degree day and tried them immediately, they were much better warm - like right out from the oven. The packaging is also done well, even after shipping there was very little breakage, which means these would travel well, and since they really aren't all that gooey they are not quite as messy as some others.Two cookies are about 150 calories, quite a lot for a cookie such as this, there is also 7 grams of fat and  110 mg of sodium, 21 g of carbohydrates. You need to weigh! the diet choices and decide if these are worth all of that to you. Personally I do not think these will be on my future shopping list."
"Amaurot Cookies",2021,"These cookies have a disc of ""fudge"" in the center, which feels grainy, and tastes artificial/plasticy.  The are not particularly soft, and they do not taste as good as the normal ""Chips "" pre-made cookies.  The ""dough"" tastes more artificial, and you cannot taste the white chocolate chips at all, as the entire this is overpowered by the ""fudge"" in the middle.I am not a HUGE fan of pre-made/artificial cookies, but I have found the pre-made Chips  brand's normal chocolate chip cookies to be tasty in the past.  So I am going to say that just this new product is lacking something, and not the brand itself.2 stars."
"Amaurot Cookies",2020,"These Chewy Gooey Megafudge cookies are really not that.  They are large and securely packaged in a re-closeable package.  However, they are not really chewy, just sorta crumbly. Gooeyness seems to imply that they are hot from the oven or short from loads of butter, and I didn't find them to possess that quality. They taste of cheap chocolate and the chips are not any different in flavor from the dough part.  They might be gooier if you left them in a hot car or something.  If you like this brand then you might like them, otherwise I would choose something else."
"Amaurot Cookies",2021,"As a choco-holic, I'll pretty much eat anything with the word ""chocolate"" on it. While I haven't had any Chips  cookies for a long time, I was excited to have a chance to try out with tasty-sounding little fudge cookies. Sadly, when I got them they were incredibly warm from the brutal Texas summer, so I had to stashed them in the refrigerator for a while, so my first experience with these cookies was chilled.And..they were good, delicious and very rich and decadent. It's basically a chocolate cookie with some fudgy stuff in the center, complete with a handful of chocolate chips infused with the entire thing. These things are like rich sugar incarnate, which isn't a bad thing, except that after about two cookies they become so rick that you just can't stomach them anymore.Then there's the fact that these cookies taste very processed and smeared in preservatives, so they can come off a little ""fake"" tasting.But the biggest letdown? just 2 cookies are 150 calories. Yeah, seriously.Probably the best part of this was the new resealable package, which makes life much easier -no clips or ziploc bags needed to keep the cookies fresh.This may work for children or some people, but I just couldn't get fully into these. I'd rather spend my money on something else..."
"Amaurot Cookies",2021,"Our household is divided on the subject of these cookies.  My short review would be ""Ok, not great, super chocolately but a little dry and processed-tasting.""  My daughter's, on the other hand, was ""Too much of a good thing turns out to be disgusting.""These are Chips  chewy-style cookies with chocolate turned up to 11.  They have chocolate flavored dough, chocolate chips, and a fudge center.  They come in the Chips  resealable pack, where you can pull back a flap on the top, then re-close it and let the post-it style glue hold it closed.What I liked:- These are very chocolatey.  I might prefer them to a regular Chips , just for the intensity of the chocolate experience.- They stay pretty soft and chewy.What could have been better:- These are currently pretty pricey.  I think you can do a lot better if you are willing to spend more than four dollars per pack of cookies.- They are very dry.  Have a glass of milk ready.- They taste a little processed.  Although they are soft and super chocolatey, there's a preservative taste to them that's just a little off.- My daughter is an extreme chocolate fan and likes Chips , so she was excited to try these, but stopped after one.  In her opinion, it's too much chocolate per cookie, and too machine processed.  (The three star rating is my opinion - she would probably give the cookies one star)."
"Amaurot Cookies",2021,"From the moment I first opened these Chewy Gooey Megafudge cookies I knew my time with this cookie would be short. Two main reasons - I have a sweet-tooth and as soon as my wife got home these cookies would become an endangered species.Yes, these Chewy Gooey cookies are that good. No, probably not as good as grandma's secret fudge cookie recipe that's been handed down in your family for generations. But when compared to similar national cookie brands they're delish! The cookies themselves are slightly smaller than the traditional Chips ! Chocolate Chip cookies we've all had. The texture of the cookies was a bit less gooey than I expected given the title but seven seconds in the microwave took care of that problem! These cookies are a pleasant combination of salty and sweet which was also a bit surprising but I found it to my liking.The package itself is smaller than I expected and I wish I could comment on how many cookies come in a sleeve. Unfortunately some items are probably better bought in store rather than shipped. My cookies arrived mostly in crumbles and only a few of the cookies resembled anything like an actual cookie. Compliments to Nabisco on the packaging which opens on top and is resealable.All in all I found these cookies deliciously chocolaty though I would probably not purchase them from Amazon."
"Amaurot Cookies",2020,"My 10 year old son loves chocolate but wasn't particularly impressed by these cookies. For a Chips  product, they are good, but there's still a ""manufactured cookie"" quality to it, versus a small batch or homemade quality. The base cookie is not dry, but spongey. There are 2 kinds of chips that have a nice sweet taste that go good together. The main issue I found is the claim it is gooey. I think that's an overstatement. While there is a small amount of fudge goo in the middle, it doesn't make the whole cookie gooey. If anything, a moderate sensation of gooeyness is produced once you chew the entire cookie in your mouth, but it's nowhere near, say, a chocolate fudge brownie. These are more light and soft, not thick and gooey."
"Amaurot Cookies",2020,"Sorry, but I can't say too many good things about this product.  First of all, the texture is like cardboard; either that or my package was stale.  Second of all, they have the most unnatural taste of any cookie I've ever eaten.  I expected better on this as the regular Chips  aren't too bad.  And it wasn't soft and gooey inside, it was dry and hard."
"Amaurot Cookies",2022,"Both my husband and I are dark chocolate fans, so this cookie looked quite tempting.At first bite, we both got a favorable impression: chewy (not as gooey as advertised, for which I was thankful, as gooey is not a favorite of mine), with a rich dark chocolate taste. My husband is a fan of white chocolate while I am not, so he found the chips a welcome treat.However, along with being chewy, the cookies have a grainy quality, and, to my taste, are excessively sweet. They also leave a rather heavy aftertaste in your mouth which is not pleasant.Coupled with the fact that you only get about 18 cookies for $4.50, I would take a pass on these. Only recommended for those who like their chocolate cookies very sweet."
"Amaurot Cookies",2021,"Chip's  Chewy Gooey Megafudge cookies are the latest addition to the family of Chip's  cookies.  The picture on the front shows a soft cookie gently being split in two with gooey chocolate oozing out.  Random chocolate chips, both dark and white are scattered about.  Should be chocolicious.The cookies aren't bad.  There was no discernible liquid goo in the center, but more of a sensation of slightly underbaked cookie.  The texture is OK, it definitely is a very strong chocolately flavor, and overall will satisfy the need for a chocolate cookie.  If you have no other options.Generally, a homemade cookie will beat out a packaged cookie every time.  So, lets just compare this cookie to other packaged cookies.  Nothing holds a candle to Oreo's because they are in a class all by themselves.  Compared to the rest of the cookies out there, these are pretty good (note 3 star rating).They are packaged in an extremely noisy resealable package, ostensibly to keep them fresh.  You won't be sneaking anything out of this package, in fact, don't go looking for one in the middle of the night because you'll wake up your whole household, and possibly your neighbors.  The reseal option is nice, keeps them safely contained and might add to the freshness.  With the number of preservatives listed on the label, not sure if freshness will be an issue.Overall, not bad, not great.  Kids will love them."
"Amaurot Cookies",2021,"""Chips ! Chewy Gooey Megafudge;"" I liked these cookies; however, they are a little on the too much chocolate for me. With that statement said, if you love chocolate then you will really like these. If you want less chocolate one cookie is enough and summer time put them in the frig and eat cold."
"Amaurot Cookies",2020,"A lot of people have already reviewed these cookies, so I will add try to keep my comments succinct.These ""cookies"" to my taste are really more of a moist brownie.  They have the texture and taste of a brownie.  If you like brownies, you'll probably like these.  If you don't, you probably won't.  They are moist, rather than dry and brittle, and I found that to be a plus.At 150 calories per two cookies, megafudge may mega-size your butt in no time.  However, you don't select something entitled ""gooey megafudge"" because you are calorie conscious.  Eaten in moderation and coupled with strenuous exercise, you can probably consume these cookies and still live to near your life expectancy.My one caveat for the chocoholic was the condition I received my product.  The cookies had received rough handling and had virtually crumbled.  My box didn't ship well and I think that is probably due to the softness of the cookie.  Since anyone purchasing the product from here needs to have it shipped, this might be a consideration.Three stars, one star lost for being uninspired and one deducted for the poor condition of the food item after shipping.  Recommended with reservations."
"Amaurot Cookies",2021,"My husband is a big chocolate fan and he loves his cookies.  I like choclate chip cookies with white chocolate in them, so these sweet and chewy cookies are a nice compromise.  I like the crunch, he loves the fudgy center, that, when slightly chilled, make the cookies even more delicious.The package arrived rather abused, but that was perhaps because for a week our mail was on hold while we had to evacuate for a wildfire.  These cookies still get crumbly and on a hot day the gooey dough make them even  stick together like one sculptured chocolate piece of art.These are definitely a winner, and any chocolate lover will give these two sticky-gooey thumbs up."
"Amaurot Cookies",2021,"The Megafudge Chips  Gooey cookie is delicious! It is soft and sweet, and just the right amount of gooey center.You definitely can't eat just a few of these. Pour yourself a cold glass of milk and get a stack of these cookies. They are heavenly."
"Amaurot Cookies",2022,"I love chocolate, and I love cookies, so I was excited to try these cookies.  I was particularly looking forward to a gooey center filled with fudge, as depicted by the large picture on the package.  I was disappointed.  There is a thin, disc-shaped chocolate-colored center in these cookies, but it is certainly not gooey.  Really, it's more like putty, and it doesn't have any discernable chocolate flavor.  The rest of the cookie is chalky in texture and also has no recognizable chocolate flavor.  I did a blind taste test between this chocolate variety and the regular chocolate-chip variety of this new ""gooey"" cookie, and I could not distinguish a difference.  The only difference is the dark brown color of the cookie.  Personally, I prefer the regular, old fashioned Chips  cookies over this new gooey version."
"Amaurot Cookies",2021,"My first impression of the taste of these cookies was that it wasn't what I expected. I expected a definitive chocolate taste, but it wasn't that. It wasn't bad, but it was different enough that I wasn't sure I liked it. The next bite was better, and the third was pleasing enough that I found myself eating a couple cookies before I stopped.That said, the taste leaves something to be desired. It has a bit of a manufactured flavor. If given the choice between three of these or one homemade cookie, I'd still go for homemade. My four-year-old daughter wouldn't eat these cookies at all--which is saying something, because she normally loves chocolate.The positives about this cookie are the texture (soft as advertised), the fudge filling, and the packaging. The packaging deserves a special note as it is a neat design, I think. Easy to reseal with little mess. And it does keep the cookies soft.The negative is the taste. Passable, palatable, but still a far cry from homemade."
"Amaurot Cookies",2022,"As a big fan of Chips  chocolate chip cookies, both the original and the chewy, I was prepared to love these as well. Now, like most people, I'm also pretty enthusiastic about chocolate, and theoretically, there is simply no such thing as ""too much."" But it just didn't taste right here. It seemed like there was both too much chocolate, and like the existing chocolate was too processed. Overall, it was a rather disappointing experience. I won't be buying these anytime soon."
"Amaurot Cookies",2022,"As one could surmise by my other reviews, I'm much more into fitness than I am into high-calorie snacks. That is not to say I don't snack once in a while. That being said, I wouldn't choose these cookies for a snack. They're unbelieveably high in fat and calories and surprisingly not really that good.They're crumbly and dry. Where's the gooey? If I was going to waste some of my calorie intake on this, I want some satisfaction, which I just didn't get.The flavor is a good chocoalte flavor, but none of the expected goo. There are some great chocolate cookies out there. These are not them."
"Amaurot Cookies",2020,"Being a fan of all things chocolate, I was looking forward to trying these new Chips ! Chewy Gooey Megafudge cookies! However, they have been a major disappointment. I have tried them at different days and different times, before and after meals, and as snacks, and every time I had the same reaction: a flat and over-processed (if not borderline unnatural) taste. On top of that, each cookie is 75 calories. These are small cookies, around 2-inches diameter each.The package is resealed at the top, with no extra material to throw away. Each package contains 18 cookies, in three rows of six cookies each.It's one thing to take the calorie hit for something really yummy, it's another to take a calorie hit for something that doesn't even taste good!"
"Amaurot Cookies",2021,"I love chocolate cookies, and these were VERY good.  The sweetness is not overwhelming and the fudge in the middle is not excessive.  Soft, chewy cookies that go perfectly with an afternoon cup of tea."
"Amaurot Cookies",2020,"As other reviewers mentioned, these cookies are very high in calories.  That wouldn't be a problem if they tasted good, but sadly the chocolate flavor is very fake.Its a good idea, but the flavor is just very poor.  If you want to eat something chocolatey, just grab some actual chocolate, it tastes way better and is probably less calories."
